yr_cde	trm_cde	room_cde	crs_cde	monday_cde	tuesday_cde	wednesday_cde	thursday_cde	friday_cde	saturday_cde	sunday_cde	begin_tim	end_tim
2022	Q1	CC03	AE   4712 011		T						1/1/00 9:00	1/1/00 11:50
2022	Q1	CC107	UX   3011 001	M		W	R				1/1/00 16:00	1/1/00 16:50
2022	Q1	CC107	TC   3010 101	M		W					1/1/00 17:00	1/1/00 18:15
2022	Q1	CC118	NU   4711 012	M	T						1/1/00 8:00	1/1/00 9:50
2022	Q1	CC118	NU   4711 013	M	T						1/1/00 8:00	1/1/00 9:50
2022	Q1	CC118	NU   4711 015	M	T						1/1/00 8:00	1/1/00 9:50
2022	Q1	CC118	NU   4711 014	M	T						1/1/00 8:00	1/1/00 9:50
2022	Q1	CC118	GS   1001 023			W					1/1/00 8:00	1/1/00 9:50
2022	Q1	CC118	NU   4711 011	M	T						1/1/00 8:00	1/1/00 9:50
2022	Q1	CC118	SS   462  001	M		W		F			1/1/00 10:00	1/1/00 10:50
2022	Q1	CC118	NU   2820 014				R				1/1/00 11:00	1/1/00 11:50
2022	Q1	CC118	NU   2820 011				R				1/1/00 11:00	1/1/00 11:50
2022	Q1	CC118	NU   3320 001		T						1/1/00 11:00	1/1/00 12:50
2022	Q1	CC118	EB   4561 011					F			1/1/00 11:00	1/1/00 11:50
2022	Q1	CC118	NU   2820 013				R				1/1/00 11:00	1/1/00 11:50
2022	Q1	CC118	NU   3320 001	M							1/1/00 11:00	1/1/00 11:50
2022	Q1	CC118	EB   4561 012					F			1/1/00 11:00	1/1/00 11:50
2022	Q1	CC118	MA   235  005		T	W	R	F			1/1/00 13:00	1/1/00 13:50
2022	Q1	CC118	NU   4700 011	M							1/1/00 14:00	1/1/00 15:50
2022	Q1	CC118	NU   4700 014	M							1/1/00 14:00	1/1/00 15:50
2022	Q1	CC118	NU   3600 012		T			F			1/1/00 14:00	1/1/00 15:50
2022	Q1	CC118	NU   4700 012	M							1/1/00 14:00	1/1/00 15:50
2022	Q1	CC118	NU   3600 011		T			F			1/1/00 14:00	1/1/00 15:50
2022	Q1	CC118	NU   4700 013	M							1/1/00 14:00	1/1/00 15:50
2022	Q1	CC118	ME   1601 071				R				1/1/00 14:00	1/1/00 15:50
