id_num	yr_cde	trm_cde	crs_cde	lead_instructr_id	crs_enrollment
234567	2022	Q1	AC   1103 001	237316	20
234568	2022	Q1	AC   1103 001	237316	20
234569	2022	Q1	AC   1103 001	237316	20
234570	2022	Q1	AC   1103 001	237316	20
234571	2022	Q1	AC   1103 001	237316	20
234572	2022	Q1	AC   1103 001	237316	20
234573	2022	Q1	AC   1103 001	237316	20
234574	2022	Q1	AC   1103 001	237316	20
234575	2022	Q1	AC   1103 001	237316	20
234576	2022	Q1	AC   1103 001	237316	20
234577	2022	Q1	AC   1103 001	237316	20
234578	2022	Q1	AC   1103 001	237316	20
234579	2022	Q1	AC   1103 001	237316	20
234580	2022	Q1	AC   1103 001	237316	20
234581	2022	Q1	AC   1103 001	237316	20
234582	2022	Q1	AC   1103 001	237316	20
234583	2022	Q1	AC   1103 001	237316	20
234584	2022	Q1	AC   1103 001	237316	20
234585	2022	Q1	AC   1103 001	237316	20
234586	2022	Q1	AC   1103 001	237316	20
234587	2022	Q1	AC   4204 001	237317	13
234588	2022	Q1	AC   4204 001	237317	13
234589	2022	Q1	AC   4204 001	237317	13
234590	2022	Q1	AC   4204 001	237317	13
234591	2022	Q1	AC   4204 001	237317	13
234592	2022	Q1	AC   4204 001	237317	13
234593	2022	Q1	AC   4204 001	237317	13
234594	2022	Q1	AC   4204 001	237317	13
234595	2022	Q1	AC   4204 001	237317	13
234596	2022	Q1	AC   4204 001	237317	13
234597	2022	Q1	AC   4204 001	237317	13
234598	2022	Q1	AC   4204 001	237317	13
234586	2022	Q1	AC   4204 001	237317	13
234599	2022	Q1	AC   4404 001	237317	7
234570	2022	Q1	AC   4404 001	237317	7
234600	2022	Q1	AC   4404 001	237317	7
234601	2022	Q1	AC   4404 001	237317	7
234602	2022	Q1	AC   4404 001	237317	7
234583	2022	Q1	AC   4404 001	237317	7
234603	2022	Q1	AC   4404 001	237317	7
234604	2022	Q1	AE   1001 011	237318	14
234605	2022	Q1	AE   1001 011	237318	14
234606	2022	Q1	AE   1001 011	237318	14
234607	2022	Q1	AE   1001 011	237318	14
234608	2022	Q1	AE   1001 011	237318	14
234609	2022	Q1	AE   1001 011	237318	14
234610	2022	Q1	AE   1001 011	237318	14
234611	2022	Q1	AE   1001 011	237318	14
234612	2022	Q1	AE   1001 011	237318	14
234613	2022	Q1	AE   1001 011	237318	14
234614	2022	Q1	AE   1001 011	237318	14
234615	2022	Q1	AE   1001 011	237318	14
234616	2022	Q1	AE   1001 011	237318	14
234617	2022	Q1	AE   1001 011	237318	14
234618	2022	Q1	AE   1001 021	237319	14
234619	2022	Q1	AE   1001 021	237319	14
234620	2022	Q1	AE   1001 021	237319	14
234621	2022	Q1	AE   1001 021	237319	14
234622	2022	Q1	AE   1001 021	237319	14
234623	2022	Q1	AE   1001 021	237319	14
234624	2022	Q1	AE   1001 021	237319	14
234625	2022	Q1	AE   1001 021	237319	14
234626	2022	Q1	AE   1001 021	237319	14
234627	2022	Q1	AE   1001 021	237319	14
234628	2022	Q1	AE   1001 021	237319	14
234629	2022	Q1	AE   1001 021	237319	14
234630	2022	Q1	AE   1001 021	237319	14
234631	2022	Q1	AE   1001 021	237319	14
234632	2022	Q1	AE   1001 022	237319	7
234633	2022	Q1	AE   1001 022	237319	7
234634	2022	Q1	AE   1001 022	237319	7
234635	2022	Q1	AE   1001 022	237319	7
234636	2022	Q1	AE   1001 022	237319	7
234637	2022	Q1	AE   1001 022	237319	7
234581	2022	Q1	AE   1001 022	237319	7
234638	2022	Q1	AE   1001 031	237320	17
234639	2022	Q1	AE   1001 031	237320	17
234640	2022	Q1	AE   1001 031	237320	17
234641	2022	Q1	AE   1001 031	237320	17
234642	2022	Q1	AE   1001 031	237320	17
234643	2022	Q1	AE   1001 031	237320	17
234644	2022	Q1	AE   1001 031	237320	17
234645	2022	Q1	AE   1001 031	237320	17
234646	2022	Q1	AE   1001 031	237320	17
234647	2022	Q1	AE   1001 031	237320	17
234648	2022	Q1	AE   1001 031	237320	17
234649	2022	Q1	AE   1001 031	237320	17
234650	2022	Q1	AE   1001 031	237320	17
234651	2022	Q1	AE   1001 031	237320	17
234652	2022	Q1	AE   1001 031	237320	17
234653	2022	Q1	AE   1001 031	237320	17
234654	2022	Q1	AE   1001 031	237320	17
234655	2022	Q1	AE   1001 032	237320	6
234656	2022	Q1	AE   1001 032	237320	6
234657	2022	Q1	AE   1001 032	237320	6
234658	2022	Q1	AE   1001 032	237320	6
234659	2022	Q1	AE   1001 032	237320	6
234660	2022	Q1	AE   1001 032	237320	6
234661	2022	Q1	AE   1001 041	237321	14
234662	2022	Q1	AE   1001 041	237321	14
234663	2022	Q1	AE   1001 041	237321	14
234664	2022	Q1	AE   1001 041	237321	14
234665	2022	Q1	AE   1001 041	237321	14
234666	2022	Q1	AE   1001 041	237321	14
234667	2022	Q1	AE   1001 041	237321	14
234668	2022	Q1	AE   1001 041	237321	14
234669	2022	Q1	AE   1001 041	237321	14
234670	2022	Q1	AE   1001 041	237321	14
234671	2022	Q1	AE   1001 041	237321	14
234672	2022	Q1	AE   1001 041	237321	14
234673	2022	Q1	AE   1001 041	237321	14
234674	2022	Q1	AE   1001 041	237321	14
234675	2022	Q1	AE   1001 051	237322	14
234676	2022	Q1	AE   1001 051	237322	14
234677	2022	Q1	AE   1001 051	237322	14
234678	2022	Q1	AE   1001 051	237322	14
234679	2022	Q1	AE   1001 051	237322	14
234680	2022	Q1	AE   1001 051	237322	14
234681	2022	Q1	AE   1001 051	237322	14
234682	2022	Q1	AE   1001 051	237322	14
234683	2022	Q1	AE   1001 051	237322	14
234684	2022	Q1	AE   1001 051	237322	14
234685	2022	Q1	AE   1001 051	237322	14
234686	2022	Q1	AE   1001 051	237322	14
234687	2022	Q1	AE   1001 051	237322	14
234688	2022	Q1	AE   1001 051	237322	14
234640	2022	Q1	AE   200  001	237323	15
234689	2022	Q1	AE   200  001	237323	15
234690	2022	Q1	AE   200  001	237323	15
234691	2022	Q1	AE   200  001	237323	15
234692	2022	Q1	AE   200  001	237323	15
234693	2022	Q1	AE   200  001	237323	15
234694	2022	Q1	AE   200  001	237323	15
234695	2022	Q1	AE   200  001	237323	15
234696	2022	Q1	AE   200  001	237323	15
234697	2022	Q1	AE   200  001	237323	15
234698	2022	Q1	AE   200  001	237323	15
234635	2022	Q1	AE   200  001	237323	15
234699	2022	Q1	AE   200  001	237323	15
234668	2022	Q1	AE   200  001	237323	15
234700	2022	Q1	AE   200  001	237323	15
234701	2022	Q1	AE   200  002	237321	19
234702	2022	Q1	AE   200  002	237321	19
234703	2022	Q1	AE   200  002	237321	19
234704	2022	Q1	AE   200  002	237321	19
234705	2022	Q1	AE   200  002	237321	19
234706	2022	Q1	AE   200  002	237321	19
234707	2022	Q1	AE   200  002	237321	19
234708	2022	Q1	AE   200  002	237321	19
234709	2022	Q1	AE   200  002	237321	19
234710	2022	Q1	AE   200  002	237321	19
234711	2022	Q1	AE   200  002	237321	19
234712	2022	Q1	AE   200  002	237321	19
234713	2022	Q1	AE   200  002	237321	19
234714	2022	Q1	AE   200  002	237321	19
234715	2022	Q1	AE   200  002	237321	19
234716	2022	Q1	AE   200  002	237321	19
234717	2022	Q1	AE   200  002	237321	19
234718	2022	Q1	AE   200  002	237321	19
234719	2022	Q1	AE   200  002	237321	19
234720	2022	Q1	AE   200  003	237324	15
234721	2022	Q1	AE   200  003	237324	15
234722	2022	Q1	AE   200  003	237324	15
234723	2022	Q1	AE   200  003	237324	15
234724	2022	Q1	AE   200  003	237324	15
234725	2022	Q1	AE   200  003	237324	15
234726	2022	Q1	AE   200  003	237324	15
234727	2022	Q1	AE   200  003	237324	15
234728	2022	Q1	AE   200  003	237324	15
234729	2022	Q1	AE   200  003	237324	15
234730	2022	Q1	AE   200  003	237324	15
234731	2022	Q1	AE   200  003	237324	15
234732	2022	Q1	AE   200  003	237324	15
234733	2022	Q1	AE   200  003	237324	15
234734	2022	Q1	AE   200  003	237324	15
234735	2022	Q1	AE   200  801	237325	18
234736	2022	Q1	AE   200  801	237325	18
234737	2022	Q1	AE   200  801	237325	18
234738	2022	Q1	AE   200  801	237325	18
234739	2022	Q1	AE   200  801	237325	18
234740	2022	Q1	AE   200  801	237325	18
234741	2022	Q1	AE   200  801	237325	18
