yr_cde	trm_cde	room_cde	crs_cde	monday_cde	tuesday_cde	wednesday_cde	thursday_cde	friday_cde	saturday_cde	sunday_cde	begin_tim	end_tim
2024	S1		CSC  4981 000									
2024	S1		GE   RMAN 001									
2024	S1		BUS  2710 002	M		W		F			1/1/1900 16:00:00	1/1/1900 16:50:00
2024	S1		BUS  3890 001	M	T		R				1/1/1900 10:00:00	1/1/1900 10:50:00
2024	S1		BUS  4510 001	M		W		F			1/1/1900 10:00:00	1/1/1900 10:50:00
2024	S1		BUS  4630 001		T		R				1/1/1900 17:00:00	1/1/1900 18:15:00
2024	S1		BUS  4660 001	M		W					1/1/1900 17:00:00	1/1/1900 18:15:00
2024	S1		BUS  6000 801						S		1/1/1900 08:00:00	1/1/1900 12:00:00
2024	S1		CHM  1010 111	M		W		F			1/1/1900 08:00:00	1/1/1900 08:50:00
2024	S1		CHM  1010 112	M		W		F			1/1/1900 08:00:00	1/1/1900 08:50:00
2024	S1		CHM  1010 161	M		W		F			1/1/1900 13:00:00	1/1/1900 13:50:00
2024	S1		CHM  1010 162	M		W		F			1/1/1900 13:00:00	1/1/1900 13:50:00
2024	S1		CHM  1010 198		T		R				1/1/1900 17:00:00	1/1/1900 18:15:00
2024	S1		CHM  1010 198		T						1/1/1900 18:30:00	1/1/1900 20:20:00
2024	S1		COM  1001 004	M			R	F			1/1/1900 08:00:00	1/1/1900 08:50:00
2024	S1		COM  1001 006	M		W		F			1/1/1900 09:00:00	1/1/1900 09:50:00
2024	S1		COM  1001 009	M	T		R				1/1/1900 10:00:00	1/1/1900 10:50:00
2024	S1		COM  1001 025	M		W		F			1/1/1900 15:00:00	1/1/1900 15:50:00
2024	S1		CSC  1110 131	M	T		R				1/1/1900 11:00:00	1/1/1900 11:50:00
2024	S1		CSC  1110 131					F			1/1/1900 10:00:00	1/1/1900 11:50:00
2024	S1		CSC  1110 221	M	T	W	R				1/1/1900 09:00:00	1/1/1900 09:50:00
2024	S1		CSC  1110 221					F			1/1/1900 08:00:00	1/1/1900 09:50:00
2024	S1		CSC  4981 121	M			R				1/1/1900 14:00:00	1/1/1900 14:50:00
2024	S1		CSC  4981 121			W					1/1/1900 13:00:00	1/1/1900 14:50:00
2024	S1		LIT  1020 801	M		W					1/1/1900 12:00:00	1/1/1900 12:50:00
2024	S1		LIT  1020 801					F			1/1/1900 12:00:00	1/1/1900 12:50:00
2024	S1		LIT  1020 802		T	W					1/1/1900 16:00:00	1/1/1900 16:50:00
2024	S1		LIT  1020 802					F			1/1/1900 16:00:00	1/1/1900 16:50:00
2024	S1		MEC  1602 181				R				1/1/1900 15:00:00	1/1/1900 16:50:00
2024	S1		MEC  1602 181	M				F			1/1/1900 15:00:00	1/1/1900 15:50:00
2024	S1		MEC  1602 185		T						1/1/1900 15:00:00	1/1/1900 16:50:00
2024	S1		MEC  1602 185	M				F			1/1/1900 15:00:00	1/1/1900 15:50:00
2024	S1		MEC  1602 186				R				1/1/1900 15:00:00	1/1/1900 16:50:00
2024	S1		MEC  1602 186	M				F			1/1/1900 15:00:00	1/1/1900 15:50:00
2024	S1		MEC  1602 195		T		R				1/1/1900 17:00:00	1/1/1900 17:50:00
