yr_cde	trm_cde	room_cde	crs_cde	monday_cde	tuesday_cde	wednesday_cde	thursday_cde	friday_cde	saturday_cde	sunday_cde	begin_tim	end_tim
2022	Q1	CC238	CH   201  011			W					1/1/00 8:00	1/1/00 9:50
2022	Q1	CC238	CH   201  012				R				1/1/00 8:00	1/1/00 9:50
2022	Q1	DH338	CS   1011 051				R				1/1/00 11:00	1/1/00 11:50
2022	Q1	DH344	CS   1011 051	M				F			1/1/00 11:00	1/1/00 11:50
2022	Q1	DH442	SE   3010 001		T		R				1/1/00 8:00	1/1/00 9:50
2022	Q1	DH442	SE   3010 002		T		R				1/1/00 12:00	1/1/00 13:50
2022	Q1	DH442	SE   3020 011		T		R				1/1/00 8:00	1/1/00 9:50
2022	Q1	DH442	SE   3020 021		T		R				1/1/00 12:00	1/1/00 13:50
2022	Q1	DH442	SE   3030 011		T		R				1/1/00 8:00	1/1/00 9:50
2022	Q1	DH442	SE   3030 021		T		R				1/1/00 12:00	1/1/00 13:50
2022	Q1	DH445	SE   2030 011		T						1/1/00 8:00	1/1/00 9:50
2022	Q1	DH445	SE   2030 011	M			R				1/1/00 8:00	1/1/00 8:50
2022	Q1	DH445	SE   2030 021				R				1/1/00 10:00	1/1/00 11:50
2022	Q1	DH445	SE   2030 021	M				F			1/1/00 10:00	1/1/00 10:50
2022	Q1	DH445	SE   2030 031		T						1/1/00 10:00	1/1/00 11:50
2022	Q1	DH445	SE   2030 031	M				F			1/1/00 11:00	1/1/00 11:50
2022	Q1	DH445	SE   2030 041			W					1/1/00 12:00	1/1/00 13:50
2022	Q1	DH445	SE   2030 041		T			F			1/1/00 13:00	1/1/00 13:50
2022	Q1	DH445	SE   2030 051			W					1/1/00 15:00	1/1/00 16:50
2022	Q1	DH445	SE   2030 051	M				F			1/1/00 15:00	1/1/00 15:50
2022	Q1	DH449	CS   1011 011	M			R	F			1/1/00 8:00	1/1/00 8:50
2022	Q1	DH449	CS   1011 021	M			R	F			1/1/00 9:00	1/1/00 9:50
2022	Q1	DH449	CS   1011 031	M		W		F			1/1/00 10:00	1/1/00 10:50
2022	Q1	DH449	CS   1011 041	M		W		F			1/1/00 11:00	1/1/00 11:50
2022	Q1	DH449	CS   1011 051			W					1/1/00 12:00	1/1/00 13:50
2022	Q1	DH449	CS   1011 061	M			R	F			1/1/00 14:00	1/1/00 14:50
2022	Q1	DH449	CS   1011 071	M			R	F			1/1/00 15:00	1/1/00 15:50
2022	Q1	DH449	CS   1011 081	M		W	R				1/1/00 16:00	1/1/00 16:50
2022	Q1	ITC	CS   1011 011		T						1/1/00 8:00	1/1/00 9:50
2022	Q1	ITC	CS   1011 021			W					1/1/00 8:00	1/1/00 9:50
2022	Q1	ITC	CS   1011 031		T						1/1/00 10:00	1/1/00 11:50
