yr_cde	crs_cde	trm_cde	room_cde	monday_cde	tuesday_cde	wednesday_cde	thursday_cde	friday_cde	saturday_cde	sunday_cde	begin_tim	end_tim
2024	ACS  1540 001	S2	L308	M	T		R				2:00 PM	2:50 PM
2024	ACS  2740 001	S2	L304	M	T		R				4:00 PM	4:50 PM
2024	ACS  3420 001	S2	L104	M		W		F			12:00 PM	12:50 PM
2024	ACS  3540 001	S2	L104	M		W		F			1:00 PM	1:50 PM
2024	ACS  4640 001	S2	L308	M		W		F			10:00 AM	10:50 AM
2024	ACS  4901 001	S2	L308	M		W		F			9:00 AM	9:50 AM
2024	ANT  1001 001	S2	GM308		T		R	F			1:00 PM	1:50 PM
2024	ANT  1001 002	S2	GM308	M		W		F			2:00 PM	2:50 PM
2024	ANT  2020 001	S2	GM308	M		W		F			12:00 PM	12:50 PM
2024	ANT  2020 002	S2	CC121	M			R	F			4:00 PM	4:50 PM
2024	ARE  2111 111	S2	CC70		T	W		F			9:00 AM	9:50 AM
2024	ARE  2111 121	S2	CC70	M		W		F			2:00 PM	2:50 PM
2024	ARE  2852 111	S2	CC44	M		W					2:00 PM	2:50 PM
2024	ARE  3121 001	S2	CC48		T		R				1:00 PM	2:15 PM
2024	ARE  3151 001	S2	CC43	M		W		F			9:00 AM	9:50 AM
2024	ARE  3161 001	S2	CC48	M		W		F			3:00 PM	3:50 PM
2024	ARE  3441 001	S2	CC50	M		W		F			8:00 AM	8:50 AM
2024	ARE  3451 001	S2	CC43	M		W		F			1:00 PM	1:50 PM
2024	ARE  3461 801	S2	CC50	M		W		F			9:00 AM	9:50 AM
2024	ARE  3821 001	S2	CC46	M		W		F			10:00 AM	10:50 AM
2024	ARE  3821 002	S2	CC45	M		W		F			2:00 PM	2:50 PM
2024	ARE  3821 003	S2	CC48		T		R				4:00 PM	5:15 PM
2024	ARE  4902 111	S2	CC76E		T	W	R				10:00 AM	11:50 AM
2024	ARE  4902 121	S2	CC76W		T	W	R				10:00 AM	11:50 AM
2024	ARE  5151 001	S2	CC51	M		W		F			1:00 PM	1:50 PM
2024	ARE  5980 001	S2	CC43	M		W					3:00 PM	4:15 PM
2024	ARE  6431 001	S2	CC53			W		F			8:00 AM	9:15 AM
2024	BIE  2410 001	S2	CC210	M		W	R				3:00 PM	3:50 PM
2024	BIE  2510 001	S2	CC51		T		R				11:00 AM	11:50 AM
2024	BIE  3100 111	S2	CC70	M	T			F			3:00 PM	3:50 PM
2024	BIE  3100 112	S2	CC70	M		W		F			3:00 PM	3:50 PM
2024	BIE  3100 113	S2	CC70	M			R	F			3:00 PM	3:50 PM
2024	BIE  3300 111	S2	CC210	M	T		R	F			10:00 AM	10:50 AM
2024	BIE  3300 112	S2	CC210	M	T	W		F			10:00 AM	10:50 AM
2024	BIE  3400 001	S2	CC210		T		R	F			9:00 AM	9:50 AM
2024	BIE  3500 001	S2	CC244	M	T		R				1:00 PM	1:50 PM
2024	BIE  4600 111	S2	CC210	M	T						1:00 PM	2:50 PM
2024	BIE  4600 112	S2	CC210	M		W					1:00 PM	2:50 PM
2024	BIE  4600 113	S2	CC210	M			R				1:00 PM	2:50 PM
2024	BIE  4980 001	S2	CC210	M		W		F			8:00 AM	8:50 AM
2024	BIE  4980 002	S2	CC11	M	T			F			9:00 AM	9:50 AM
2024	BIO  1110 111	S2	CC47	M	T		R	F			8:00 AM	8:50 AM
2024	BIO  1410 111	S2	CC45	M	T	W		F			11:00 AM	11:50 AM
2024	BIO  1420 111	S2	CC47	M	T	W		F			2:00 PM	2:50 PM
2024	BIO  1420 112	S2	CC47	M	T		R	F			2:00 PM	2:50 PM
2024	BIO  2310 111	S2	CC47	M	T	W		F			9:00 AM	9:50 AM
2024	BIO  2310 121	S2	CC43	M	T		R	F			10:00 AM	10:50 AM
2024	BIO  2320 111	S2	CC62	M			R				9:00 AM	10:50 AM
2024	BIO  2320 112	S2	CC62	M				F			9:00 AM	10:50 AM
2024	BIO  2510 001	S2	DH327		T		R	F			10:00 AM	10:50 AM
2024	BIO  2510 302	S2	ONLN		T		R	F			3:00 PM	3:50 PM
2024	BME  3010 001	S2	DH310	M		W		F			10:00 AM	10:50 AM
2024	BME  3310 111	S2	S358		T	W		F			1:00 PM	1:50 PM
2024	BME  3310 112	S2	S358		T		R	F			1:00 PM	1:50 PM
2024	BME  3410 111	S2	S366	M		W	R	F			9:00 AM	9:50 AM
2024	BME  3410 121	S2	S366	M	T	W		F			3:00 PM	3:50 PM
2024	BME  4110 111	S2	L100	M	T		R				1:00 PM	1:50 PM
2024	BME  4110 112	S2	L100	M	T			F			1:00 PM	1:50 PM
2024	BME  4902 111	S2	L308		T		R				11:00 AM	11:50 AM
2024	BME  4902 121	S2	S358		T		R				11:00 AM	11:50 AM
2024	BME  4981 111	S2	L311	M	T		R				9:00 AM	9:50 AM
2024	BUS  2010 001	S2	R103	M		W		F			9:00 AM	9:50 AM
2024	BUS  2010 002	S2	R103	M		W		F			2:00 PM	2:50 PM
2024	BUS  2221 001	S2	R201	M		W		F			10:00 AM	10:50 AM
2024	BUS  2221 002	S2	R300	M			R	F			2:00 PM	2:50 PM
2024	BUS  2222 001	S2	R300	M		W		F			10:00 AM	10:50 AM
2024	BUS  2222 002	S2	R300		T		R	F			1:00 PM	1:50 PM
2024	BUS  2225 001	S2	R202	M	T			F			3:00 PM	3:50 PM
2024	BUS  2330 301	S2	ONLN		T	W		F			1:00 PM	1:50 PM
2024	BUS  2411 001	S2	R202	M		W		F			9:00 AM	9:50 AM
2024	BUS  2411 002	S2	R202	M		W		F			10:00 AM	10:50 AM
2024	BUS  2411 003	S2	R202	M		W		F			2:00 PM	2:50 PM
2024	BUS  2445 001	S2	R202	M		W		F			8:00 AM	8:50 AM
2024	BUS  2450 001	S2	R103		T		R				1:00 PM	1:50 PM
2024	BUS  2450 002	S2	DH110	M		W		F			9:00 AM	9:50 AM
2024	BUS  2510 811	S2	R301			W	R	F			10:00 AM	10:50 AM
2024	BUS  2530 001	S2	R201	M		W		F			11:00 AM	11:50 AM
2024	BUS  2530 801	S2	R300	M		W		F			3:00 PM	3:50 PM
2024	BUS  2660 001	S2	R200		T		R				9:00 AM	10:15 AM
2024	BUS  2710 001	S2	R200	M		W		F			11:00 AM	11:50 AM
2024	BUS  2900 001	S2	R200				R				2:00 PM	4:50 PM
2024	BUS  3010 001	S2	R200	M		W		F			12:00 PM	12:50 PM
2024	BUS  3400 001	S2	R103		T		R				9:00 AM	10:15 AM
2024	BUS  3420 001	S2	R103	M	T			F			3:00 PM	3:50 PM
2024	BUS  3420 301	S2	ONLN	M		W		F			9:00 AM	9:50 AM
2024	BUS  3420 302	S2	ONLN	M		W		F			11:00 AM	11:50 AM
2024	BUS  3445 001	S2	R200	M		W		F			2:00 PM	2:50 PM
2024	BUS  3580 111	S2	R301	M	T			F			2:00 PM	2:50 PM
2024	BUS  3593 001	S2	R201	M		W		F			3:00 PM	3:50 PM
2024	BUS  3805 001	S2	R103		T		R				10:35 AM	11:50 AM
2024	BUS  3850 001	S2	R201	M		W		F			2:00 PM	2:50 PM
2024	BUS  4310 301	S2	ONLN		T		R	F			8:00 AM	8:50 AM
2024	BUS  4490 001	S2	R200	M		W		F			3:00 PM	3:50 PM
2024	BUS  4510 001	S2	R201	M		W					4:00 PM	5:15 PM
2024	BUS  4560 001	S2	R300	M		W		F			11:00 AM	11:50 AM
2024	BUS  4575 001	S2	R301	M	T			F			3:00 PM	3:50 PM
2024	BUS  4620 001	S2	R200		T		R	F			1:00 PM	1:50 PM
2024	BUS  4630 001	S2	R202	M		W					5:00 PM	6:15 PM
2024	BUS  4640 001	S2	R103	M		W					6:30 PM	7:45 PM
2024	BUS  4660 001	S2	R103	M		W					5:00 PM	6:15 PM
2024	BUS  4680 001	S2	R103	M		W		F			10:00 AM	10:50 AM
2024	BUS  4901 001	S2	R103				R				2:00 PM	4:50 PM
2024	BUS  4901 002	S2	R103				R				2:00 PM	4:50 PM
2024	BUS  4901 003	S2	R103				R				2:00 PM	4:50 PM
2024	BUS  4901 004	S2	R103				R				2:00 PM	4:50 PM
2024	BUS  4901 005	S2	R103				R				2:00 PM	4:50 PM
2024	BUS  4901 006	S2	R103				R				2:00 PM	4:50 PM
2024	CAE  1871 001	S2	CC35	M		W	R	F			8:00 AM	8:50 AM
2024	CAE  1871 002	S2	CC35	M	T		R	F			10:00 AM	10:50 AM
2024	CAE  1871 003	S2	CC35	M	T	W		F			11:00 AM	11:50 AM
2024	CAE  1871 004	S2	CC35	M		W	R	F			2:00 PM	2:50 PM
2024	CAE  1871 005	S2	CC35	M	T		R	F			3:00 PM	3:50 PM
2024	CAE  1872 101	S2	SG100		T						8:00 AM	9:50 AM
2024	CAE  1872 102	S2	SG100				R				8:00 AM	9:50 AM
2024	CAE  1872 103	S2	SG100		T						10:00 AM	11:50 AM
